goos: darwin
goarch: arm64
pkg: github.com/zchee/typesafe-sdk-go/internal/codec
cpu: Apple M3 Max
BenchmarkEncodeState/ascii/1KiB/encode-16         	 7893381	       151.5 ns/op	6548.06 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/encode-16         	 7940583	       150.9 ns/op	6572.41 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/encode-16         	 7608516	       152.9 ns/op	6485.83 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/encode-16         	 7857340	       151.0 ns/op	6568.27 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/encode-16         	 8013607	       150.3 ns/op	6600.48 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/encode-16         	 8081005	       150.6 ns/op	6588.96 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/encode-16         	 7897849	       150.7 ns/op	6582.54 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/encode-16         	 8232590	       148.3 ns/op	6688.66 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/encode-16         	 8209183	       148.6 ns/op	6674.21 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/encode-16         	 7880120	       150.1 ns/op	6610.70 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	67295377	        17.76 ns/op	55859.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	67621347	        17.81 ns/op	55687.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	67727416	        17.59 ns/op	56385.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	69498739	        17.72 ns/op	55975.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	65825409	        17.65 ns/op	56216.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	65604540	        17.71 ns/op	56027.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	67285947	        17.78 ns/op	55785.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	66891186	        17.85 ns/op	55568.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	68510094	        17.62 ns/op	56285.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/1KiB/check-16          	66660492	        17.88 ns/op	55485.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  253963	      4742 ns/op	13817.56 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  250720	      4711 ns/op	13908.36 MB/s	      17 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  258246	      4685 ns/op	13984.59 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  257391	      4794 ns/op	13667.48 MB/s	      17 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  248971	      4772 ns/op	13730.80 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  249168	      4772 ns/op	13731.92 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  256959	      4728 ns/op	13857.00 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  251235	      4727 ns/op	13860.08 MB/s	      17 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  243854	      4674 ns/op	14016.94 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/encode-16        	  258424	      4674 ns/op	14019.45 MB/s	      17 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/64KiB/check-16         	 1446649	       829.0 ns/op	79041.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/64KiB/check-16         	 1472251	       820.6 ns/op	79849.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/64KiB/check-16         	 1454890	       828.0 ns/op	79135.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/64KiB/check-16         	 1438766	       834.8 ns/op	78484.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/64KiB/check-16         	 1430194	       839.5 ns/op	78045.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/64KiB/check-16         	 1440135	       831.1 ns/op	78842.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/64KiB/check-16         	 1469313	       820.4 ns/op	79869.86 MB/s	       0 B/op	       0 allocs/op
