# 2026-09-26 15:48:34 JST (M) lock=/private/tmp/claude-501/-Users-zchee-go-src-github-com-zchee-typesafe-sdk-go/40cb0f1f-c8a9-422c-a3e8-b3afc329b5cb/scratchpad/bench.lock GOEXPERIMENT=nosimd,noruntimesecret go test -run ^$ -bench ^BenchmarkSD2$ -benchmem -count=5 ./_spikes/w4.3/
# load before: 15:48  up 4 days, 14:54, 1 user, load averages: 5.14 6.08 7.10 | kernel: { 5.14 6.08 7.10 } (MAXLOAD=16, waited 0 x 60 s)
# base: d7a5968
go version go1.27.1 darwin/arm64
[goexperiment.regabiwrappers goexperiment.regabiargs goexperiment.jsonv2 goexperiment.greenteagc goexperiment.randomizedheapbase64 goexperiment.sizespecializedmalloc arm64.v8.0]
goos: darwin
goarch: arm64
pkg: github.com/zchee/typesafe-sdk-go/_spikes/w4.3
cpu: Apple M3 Max
BenchmarkSD2/result.json/0-DecodeAs-16         	 8487537	       140.1 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/0-DecodeAs-16         	 8840886	       136.2 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/0-DecodeAs-16         	 8793879	       135.1 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/0-DecodeAs-16         	 9062696	       134.3 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/0-DecodeAs-16         	 8675137	       136.0 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/1-reflect-addr-16     	 9620722	       127.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/1-reflect-addr-16     	 9842556	       126.0 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/1-reflect-addr-16     	 8602574	       125.5 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/1-reflect-addr-16     	 9760371	       123.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/1-reflect-addr-16     	 9474500	       122.7 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/2-unsafe-offset-16    	18757998	        64.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/result.json/2-unsafe-offset-16    	18798157	        64.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/result.json/2-unsafe-offset-16    	18596649	        64.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/result.json/2-unsafe-offset-16    	18850226	        64.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/result.json/2-unsafe-offset-16    	18718095	        63.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/result.json/2h-unsafe-offset-heap-16         	12764322	        95.60 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/2h-unsafe-offset-heap-16         	12830696	        95.92 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/2h-unsafe-offset-heap-16         	12472332	        98.02 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/2h-unsafe-offset-heap-16         	12642302	        94.89 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/2h-unsafe-offset-heap-16         	12607028	        97.71 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/result.json/3-reflect-set-16                 	 7392187	       173.0 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/result.json/3-reflect-set-16                 	 7361371	       168.6 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/result.json/3-reflect-set-16                 	 7527906	       165.4 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/result.json/3-reflect-set-16                 	 7140282	       170.1 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/result.json/3-reflect-set-16                 	 7427978	       166.6 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/result-20.json/0-DecodeAs-16                 	 1251698	       965.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSD2/result-20.json/0-DecodeAs-16                 	 1260519	       947.2 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSD2/result-20.json/0-DecodeAs-16                 	 1301754	       923.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSD2/result-20.json/0-DecodeAs-16                 	 1294723	       926.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSD2/result-20.json/0-DecodeAs-16                 	 1288138	       927.3 ns/op	    1024 B/op	       1 allocs/op
