# BenchmarkCall walltime statistics as CodSpeed stored them, copied verbatim from the CodSpeed MCP tool
# get_benchmark_result (repository zchee/typesafe-sdk-go, runnerMode WallTime), fields in seconds.
# One line per run and row; codspeed_date is list_runs' date for the run. Written 2026-09-26 15:05:07 JST by lane w5-4-codspeed.
# cpu: the runner's CPU model, from the report step (c15ba0c on), else from CodSpeed's compare_runs environment check
# against the EPYC 7763 run 6ab757c1b5bd728624a336a7 (no difference listed = the same model) and ledger W5.1-25/-26.
# The rows W5.4 adds after this header come from the same tool; the run's report step prints the same numbers in ns.
commit	event	branch	gh_run	codspeed_run	codspeed_date	cpu	row	min	median	mean	stdev	rounds	iqr_outlier_rounds
f048059	push	main	36218293900	6ab74dffc9fea79936132129	2026-09-26T04:45:51.874Z	AMD EPYC 7763	sdk	0.00000557	0.000005941	0.000006816277146227146	0.000006553660629782985	470535	38617
f048059	push	main	36218293900	6ab74dffc9fea79936132129	2026-09-26T04:45:51.874Z	AMD EPYC 7763	naive	0.000004859	0.00000552	0.000007142366524028021	0.000009371402815990015	469017	66234
f1b1df8	workflow_dispatch	wave/p5-codspeedfix-probe	36219879628	6ab75593d47c5a3890bbc64f	2026-09-26T05:18:11.902Z	AMD EPYC 7763	sdk	0.0000056	0.000005901	0.000007013538276440129	0.000007067139349097284	464202	59659
f1b1df8	workflow_dispatch	wave/p5-codspeedfix-probe	36219879628	6ab75593d47c5a3890bbc64f	2026-09-26T05:18:11.902Z	AMD EPYC 7763	naive	0.000004819	0.000005521	0.000007414511312607532	0.00001135669017278046	463863	71273
57bee0f	workflow_dispatch	wave/p5-codspeedfix	36220344551	6ab757c1b5bd728624a336a7	2026-09-26T05:27:29.673Z	AMD EPYC 7763	sdk	0.00000557	0.000005891	0.000006926194169367336	0.000007079112124767403	455731	48602
57bee0f	workflow_dispatch	wave/p5-codspeedfix	36220344551	6ab757c1b5bd728624a336a7	2026-09-26T05:27:29.673Z	AMD EPYC 7763	naive	0.000004849	0.00000549	0.000007354902463172969	0.00001022466985151924	480762	83805
9deffbe	workflow_dispatch	wave/p5-codspeedfix-bite	36220346065	6ab757cdbffa2b9b6c44cd57	2026-09-26T05:27:41.047Z	AMD EPYC 9V74	sdk	0.000005208	0.000005538	0.000006265082088535778	0.000005989598865693593	513872	39330
9deffbe	workflow_dispatch	wave/p5-codspeedfix-bite	36220346065	6ab757cdbffa2b9b6c44cd57	2026-09-26T05:27:41.047Z	AMD EPYC 9V74	naive	0.000004516	0.000005258	0.000006684574752955087	0.000008664962353060089	497278	66281
3ffe77b	push	main	36220416172	6ab7581e0ebd71c0902eb24e	2026-09-26T05:29:02.636Z	AMD EPYC 7763	sdk	0.00000545	0.000005781	0.000006685231179049936	0.000006853162310659982	479386	39994
3ffe77b	push	main	36220416172	6ab7581e0ebd71c0902eb24e	2026-09-26T05:29:02.636Z	AMD EPYC 7763	naive	0.000004849	0.000005491	0.000007130444658169199	0.00001016674136747738	474650	66715
aaa9698	workflow_dispatch	wave/p5-codspeedfix	36221215525	6ab75bdbb5bd728624a3372a	2026-09-26T05:44:59.879Z	AMD EPYC 7763	sdk	0.00000541	0.000005821	0.00000701395847525225	0.000007002681243071052	473862	61622
aaa9698	workflow_dispatch	wave/p5-codspeedfix	36221215525	6ab75bdbb5bd728624a3372a	2026-09-26T05:44:59.879Z	AMD EPYC 7763	naive	0.000004779	0.000005471	0.000007132965350763768	0.00001067730330958937	483445	65528
aaa9698	push	main	36221839206	6ab75ed2e412c1cc664ef2d7	2026-09-26T05:57:38.380Z	AMD EPYC 7763	sdk	0.00000545	0.000005791	0.000006684293579322286	0.000006843232850450341	479046	41135
aaa9698	push	main	36221839206	6ab75ed2e412c1cc664ef2d7	2026-09-26T05:57:38.380Z	AMD EPYC 7763	naive	0.000004758	0.00000568	0.000007624536812916195	0.00001118020999074784	467010	80720
c15ba0c	workflow_dispatch	wave/w5.4	36222408328	6ab761aa075e817cd5b19ada	2026-09-26T06:09:46.516Z	AMD EPYC 9V45	sdk	0.000002844	0.000003044	0.000003303270606528471	0.000002346032295392956	929948	53565
c15ba0c	workflow_dispatch	wave/w5.4	36222408328	6ab761aa075e817cd5b19ada	2026-09-26T06:09:46.516Z	AMD EPYC 9V45	naive	0.000002464	0.000002965	0.000003632230206394744	0.000004515223030594588	956420	132967
7778166	push	main	36223111400	6ab764f4658c3a183213aa0e	2026-09-26T06:23:48.812Z	AMD EPYC 9V74	sdk	0.000005097	0.000005468	0.000006203834336707588	0.000007159692992562894	492837	38621
7778166	push	main	36223111400	6ab764f4658c3a183213aa0e	2026-09-26T06:23:48.812Z	AMD EPYC 9V74	naive	0.000004457	0.000005358	0.000007007976126027635	0.00000960320984247797	531248	94885
9c61db9	push	main	36224817149	6ab76ce42eddcdb9847b5adb	2026-09-26T06:57:40.058Z	AMD EPYC 7763	sdk	0.00000543	0.000005821	0.000006770538946194733	0.000007686172890746393	464564	39591
9c61db9	push	main	36224817149	6ab76ce42eddcdb9847b5adb	2026-09-26T06:57:40.058Z	AMD EPYC 7763	naive	0.000004809	0.000005771	0.000007760061600118337	0.00001151818622702086	474090	82994
a4cbb5d	push	main	36225881915	6ab771dd1f99e1706f368c69	2026-09-26T07:18:53.390Z	AMD EPYC 7763	sdk	0.00000545	0.000005781	0.000006738756166240527	0.000007330846090246421	449950	40802
a4cbb5d	push	main	36225881915	6ab771dd1f99e1706f368c69	2026-09-26T07:18:53.390Z	AMD EPYC 7763	naive	0.000004789	0.00000554	0.000007510806327253759	0.00001055774842807453	480398	93272
